"provname","year","biweek","time","cases","births","pop","precip_mm","temp_C"
"Prey Veng",2005,20,2005.73076923077,14,936.383746646919,934892.469157584,110.4805,27.9760955714286
"Prey Veng",2005,21,2005.76923076923,9,936.860323715082,935456.341705219,98.613,27.8540491214286
"Prey Veng",2005,22,2005.80769230769,11,937.336900783244,936020.214252854,114.52878421961,27.7043708285714
"Prey Veng",2005,23,2005.84615384615,12,937.813477851406,936584.086800489,62.9399,27.8606739071429
"Prey Veng",2005,24,2005.88461538462,14,938.290054919568,937147.959348124,28.479406620619,26.7100068214286
"Prey Veng",2005,25,2005.92307692308,6,938.766631987731,937711.831895759,36.57437234042,26.7269232642857
"Prey Veng",2005,26,2005.96153846154,6,939.243209055893,938275.704443394,18.2162665547226,25.3866242266667
"Prey Veng",2006,1,2006,2,939.719786124055,938838.125249316,2.0004829561101,27.7952361857143
"Prey Veng",2006,2,2006.03846153846,3,940.196363192217,939395.102023819,2.7874599940251,28.2140585785714
"Prey Veng",2006,3,2006.07692307692,5,940.672940260379,939952.078798322,2.6159572866,28.6775910571429
"Prey Veng",2006,4,2006.11538461538,5,941.149517328541,940509.055572825,11.8522970183451,29.2410748
"Prey Veng",2006,5,2006.15384615385,3,941.626094396704,941066.032347328,8.0158962067,29.1017021071429
"Prey Veng",2006,6,2006.19230769231,3,942.102671464866,941623.009121832,49.4560503931,29.0796099428572
"Prey Veng",2006,7,2006.23076923077,7,942.572524323413,942179.985896335,48.6799,29.4954687928572
"Prey Veng",2006,8,2006.26923076923,5,943.03397191994,942736.962670838,25.5687,30.2553396214286
"Prey Veng",2006,9,2006.30769230769,8,943.495419516467,943293.939445341,71.4016,29.9554161071429
"Prey Veng",2006,10,2006.34615384615,10,943.956867112994,943850.916219844,86.20219160141,29.1070307714286
"Prey Veng",2006,11,2006.38461538462,7,944.418314709521,944407.892994347,77.5049,28.8816325714286
"Prey Veng",2006,12,2006.42307692308,38,944.879762306048,944964.86976885,73.7728,29.0163747642857
"Prey Veng",2006,13,2006.46153846154,46,945.341209902575,945521.846543353,129.9826,27.7226217142858
"Prey Veng",2006,14,2006.5,62,945.802657499102,946078.823317856,95.7826,28.0826391071429
"Prey Veng",2006,15,2006.53846153846,82,946.264105095629,946635.800092359,57.1238,28.1684876857143
"Prey Veng",2006,16,2006.57692307692,104,946.725552692156,947192.776866862,74.8722,27.7399660571429
"Prey Veng",2006,17,2006.61538461538,97,947.187000288684,947749.753641365,121.0313,27.8210837857143
"Prey Veng",2006,18,2006.65384615385,91,947.648447885211,948306.730415868,95.477,28.29565665
"Prey Veng",2006,19,2006.69230769231,86,948.109895481738,948863.707190371,182.3046,27.3789265714286
"Prey Veng",2006,20,2006.73076923077,88,948.571343078265,949420.683964874,145.1689,26.9881480857143
"Prey Veng",2006,21,2006.76923076923,64,949.032790674792,949977.660739377,98.6341,27.5808118428571
"Prey Veng",2006,22,2006.80769230769,33,949.494238271319,950534.63751388,13.329,28.2140139071429
"Prey Veng",2006,23,2006.84615384615,38,949.955685867846,951091.614288383,18.6446333337994,28.4574467785715
"Prey Veng",2006,24,2006.88461538462,41,950.417133464373,951648.591062886,15.0038,28.9938364714286
"Prey Veng",2006,25,2006.92307692308,24,950.878581060901,952205.567837389,4.5732605673475,29.2439085642857
"Prey Veng",2006,26,2006.96153846154,40,951.340028657428,952762.544611892,0.0624553905833,26.52617662
"Prey Veng",2007,1,2007,14,951.801476253955,953318.013698116,18.8689339355031,28.1084448928572
